,N,P,K,temperature,humidity,ph,rainfall,label
2067,66,58,35,23.5643831,79.46283115,7.321619041,185.25947,8
1667,36,29,13,20.68185224,90.91510525,7.829507245,109.7513927,16
1963,112,49,25,25.68959532,77.90621048,6.470135478,66.19426787,6
1107,18,17,31,31.74592134,45.16127859,5.667507706,93.75441586,12
1719,57,57,51,39.01793345,91.48815629,6.99223441,105.8841531,17
1444,106,10,49,27.72653142,92.00687531,6.350623739,20.21126747,15
535,11,45,19,28.70012137,44.359648,3.828031463,44.11622138,13
2040,66,47,36,24.85441411,74.4407048,6.57256106,175.572958,8
205,32,73,81,20.45078582,15.40312102,5.988992796,92.68373702,3
528,22,43,24,25.42517036,53.2208266,4.52363558,46.19374559,13
978,31,11,45,24.83954414,86.88738076,6.034612928,107.6435771,19
1382,101,11,51,25.50736962,84.24340241,6.792035575,44.2068997,21
544,32,48,18,26.45707778,56.40226277,5.993513566,64.16167699,13
1956,133,57,19,23.54234715,75.98203329,7.947011366,84.12536744,6
1706,68,62,50,33.20258348,92.76437927,6.977700268,197.5282582,17
1302,105,30,50,25.29954705,81.77527562,6.37620108,57.04147057,21
588,9,59,25,30.39321309,60.16299493,7.699200949,35.37493212,13
23,83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,20
1862,17,30,27,29.03065024,90.79093862,5.894027065,205.5720367,4
582,19,51,25,26.80474415,48.23991436,3.5253661,43.87801983,13
590,35,38,19,25.32688786,63.18180319,9.112771682,32.71129281,13
198,83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,11
49,88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,20
173,94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,11
1865,15,28,32,28.84270971,99.64328526,6.218571874,224.4016682,4
1653,14,22,9,17.24944623,91.13772765,6.543191814,112.5090516,16
964,40,11,44,24.45840036,86.10874614,6.322396027,111.3779693,19
308,17,59,17,18.4167001,23.42829938,5.689858133,132.9801054,9
1307,85,22,53,25.96534238,89.77076659,6.849471704,59.46338556,21
617,31,58,15,27.11026483,84.96771717,7.121571293,51.52617423,14
787,44,55,25,29.6321052,65.91359954,7.42160832,71.16331975,2
59,99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,20
71,67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,20
1908,121,47,16,23.60564038,79.29573149,7.723240151,72.49800885,6
1958,116,52,19,22.94276687,75.37170612,6.114525877,67.08022574,6
482,5,68,20,19.04380471,33.10695144,6.12166671,155.3705624,18
